DISTRICT,UNIT,YEAR,no.of.VEHICLES,ACCIDENT_classification,ACCIDENT_SPOT,AccidentLocation,AccidentSubLocation,HitAndRun,Severity,CollisionType,RoadCharacter,RoadType,SurfaceType,SurfaceCondition,Weather,LaneType,RoadMark
Bagalkot,Amengad PS,2016,2,Road Accidents,Road hump or Rumble strips,City/Town,Near Petrol Pump,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Dry,Not Applicable,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Narrow road,Villages settlement,Near Bus stop,No,Fatal,Head on,Not Applicable,Service Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Curves,Rural Areas,Open area,No,Fatal,Not Applicable,Curve and Incline,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Villages settlement,Open area,No,Damage Only,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Not Applicable,City/Town,Near a factory industrial area,No,Fatal,Hit puchcart,Others,State Highway,Bitumen(Tar),Others,Cloudy,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,2,Road Accidents,Bridge,Rural Areas,Narrow bridge or culverts,Not Applicable,Fatal,Rear end,Straight and flat,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Not Applicable,Open area,No,Fatal,Drowned,Not Applicable,City or Town Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Junction,Rural Areas,Near Bus stop,No,Fatal,Not Applicable,Not Applicable,Village Road,Bitumen(Tar),Not Applicable,Clear,SingleLane,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Bottleneck,Rural Areas,Near or inside a village,Not Applicable,Grievous Injury,Hit bicyclist,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Villages settlement,At pedestrian Crossing,No,Fatal,Hit pedestrian,Others,NH,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,Rural Areas,Open area,No,Damage Only,Hit bicyclist,Curve,State Highway,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Junction,Rural Areas,Near Bus stop,No,Grievous Injury,Hit bicyclist,Not Applicable,One way,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Bottleneck,City/Town,In bazaar,Not Applicable,Fatal,Hit and Run,Not Applicable,NH,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Junction,Villages settlement,Near Bus stop,No,Fatal,Head on,Not Applicable,Residential Street,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Amengad PS,2016,1,Road Accidents,Other,Rural Areas,Near or inside a village,No,Fatal,Hit animal,Not Applicable,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2016,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Simple Injury,Others,Curve and Incline,State Highway,Bitumen(Tar),Wet,Light Rain,DualLane,Centre White Line
Bagalkot,Amengad PS,2017,1,Road Accidents,Junction,City/Town,At pedestrian Crossing,No,Grievous Injury,Skidding or Self accident,Not Applicable,City or Town Road,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Curves,Rural Areas,At pedestrian Crossing,No,Fatal,Head on,Not Applicable,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Junction,City/Town,Near Bus stop,No,Fatal,Head on,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Bottleneck,Villages settlement,At pedestrian Crossing,No,Fatal,Head on,Not Applicable,Minor District Road,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Culvert,City/Town,Affected by encroachments,No,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,Others,Centre White Line
Bagalkot,Amengad PS,2017,1,Road Accidents,Not Applicable,Rural Areas,Affected by encroachments,Yes,Grievous Injury,Hit and Run,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Cross roads,Rural Areas,Near or inside a village,No,Grievous Injury,Head on,Not Applicable,Major District Road,Bitumen(Tar),Dry,Clear,SingleLane,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Overturning,Not Applicable,State Highway,Bitumen(Tar),Wet,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Staggered junction,City/Town,Residential area,No,Grievous Injury,Hit pedal cyclist,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Junction,Rural Areas,At pedestrian Crossing,No,Grievous Injury,Hit pedestrian,Not Applicable,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Not Applicable,Rural Areas,Near School or College,No,Grievous Injury,Head on,Incline,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Cross roads,City/Town,Near or inside a village,Not Applicable,Fatal,Drowned,Hump,City or Town Road,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,3,Road Accidents,Curves,Rural Areas,Open area,No,Grievous Injury,Hit puchcart,Incline,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2017,2,Road Accidents,Bottleneck,Rural Areas,Near or inside a village,No,Grievous Injury,Head on,Not Applicable,Village Road,Bitumen(Tar),Dry,Clear,Others,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Right Turn Collision,Not Applicable,State Highway,Bitumen(Tar),Dry,Very Cold,DualLane,Centre White Line
Bagalkot,Amengad PS,2017,2,Road Accidents,Not Applicable,City/Town,Near Petrol Pump,Not Applicable,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Bottleneck,City/Town,Residential area,No,Grievous Injury,Drowned,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Not Applicable,City/Town,Affected by encroachments,No,Fatal,Side impact or Right angle,Straight and flat,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Bottleneck,City/Town,Affected by encroachments,No,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Other,Rural Areas,Open area,Not Applicable,Grievous Injury,Head on,Not Applicable,State Highway,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Bottleneck,City/Town,Narrow bridge or culverts,Yes,Fatal,Hit and Run,Not Applicable,Minor District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Other,City/Town,Near Petrol Pump,No,Grievous Injury,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Not Applicable,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2017,1,Road Accidents,Bottleneck,Rural Areas,Near or inside a village,Not Applicable,Fatal,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2017,2,Road Accidents,Bottleneck,Rural Areas,Affected by encroachments,No,Fatal,Hit bicyclist,Curve and Incline,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Curves,Not Applicable,Near or inside a village,No,Grievous Injury,Hit fixed object,Curve,Village Road,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Curves,Rural Areas,Near or inside a village,No,Fatal,Skidding or Self accident,Curve and Incline,Village Road,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,1,Road Accidents,Bottleneck,Rural Areas,Near or inside a village,No,Fatal,Hit fixed object,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2017,2,Road Accidents,Not Applicable,City/Town,Near Petrol Pump,No,Grievous Injury,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Vehicle to Vehicle,Not Applicable,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Culvert,Rural Areas,Narrow bridge or culverts,No,Grievous Injury,Hit fixed object,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Bottleneck,Rural Areas,Open area,Yes,Fatal,Hit and Run,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Junction,City/Town,At pedestrian Crossing,No,Fatal,Hit pedestrian,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Junction,Rural Areas,Near a factory industrial area,No,Grievous Injury,Head on,Others,State Highway,Bitumen(Tar),Ditch or Potholed,Fine,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Bottleneck,City/Town,At pedestrian Crossing,No,Grievous Injury,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Head on,Others,State Highway,Bitumen(Tar),Others,Not Applicable,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,At pedestrian Crossing,No,Grievous Injury,Head on,Curve and Incline,Major District Road,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Affected by encroachments,No,Grievous Injury,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Other,City/Town,Near Bus stop,No,Fatal,Head on,Not Applicable,NH,Bitumen(Tar),Dry,Fine,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Narrow road,Rural Areas,Near Petrol Pump,No,Fatal,Overturning,Others,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Curves,Rural Areas,Affected by encroachments,No,Damage Only,Skidding or Self accident,Crest of hill,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Near Petrol Pump,No,Fatal,Overturning,Sharp Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Not Applicable,Rural Areas,Near Petrol Pump,No,Fatal,Hit animal,Not Applicable,State Highway,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Junction,Villages settlement,Near School or College,No,Fatal,Hit bicyclist,Not Applicable,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Other,Not Applicable,Near or inside a village,Yes,Grievous Injury,Head on,Others,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Bottleneck,Not Applicable,Near or inside a village,No,Fatal,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Curves,Rural Areas,Near School or College,No,Grievous Injury,Overturning,Curve and Incline,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,3,Road Accidents,Other,Rural Areas,Open area,No,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Light Rain,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Near a religious place,No,Fatal,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Light Rain,NULL,NULL
Bagalkot,Amengad PS,2018,1,Not Applicable,Bottleneck,Rural Areas,Near or inside a village,No,Grievous Injury,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,Others,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Not Applicable,Rural Areas,Open area,Yes,Fatal,Hit puchcart,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,DualLane,Centre White Line
Bagalkot,Amengad PS,2018,1,Road Accidents,Junction,City/Town,In bazaar,No,Grievous Injury,Head on,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Curves,Rural Areas,At pedestrian Crossing,No,Fatal,Head on,Curve and Incline,Village Road,Bitumen(Tar),Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Affected by encroachments,No,Grievous Injury,Head on,Others,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Damage Only,Run Off Road,Incline,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Bottleneck,Rural Areas,Near Petrol Pump,No,Fatal,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Head on,Dip or trough,Village Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Not Applicable,Rural Areas,Residential area,No,Fatal,Hit puchcart,Not Applicable,Others,Surfaced,Dry,Others,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Other,Rural Areas,Near School or College,No,Fatal,Skidding or Self accident,Not Applicable,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,2,Road Accidents,Junction,City/Town,At pedestrian Crossing,No,Grievous Injury,Overturning,Curve and Incline,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2018,1,Road Accidents,Junction,City/Town,Near Petrol Pump,Yes,Damage Only,Hit animal,Not Applicable,State Highway,Bitumen(Tar),Dry,Light Rain,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Curves,City/Town,Near School or College,Not Applicable,Fatal,Not Applicable,Curve,State Highway,Surfaced,Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Not Applicable,Rural Areas,Open area,Not Applicable,Grievous Injury,Vehicle to Vehicle,Curve,Others,Concrete,Muddy,Others,NULL,NULL
Bagalkot,Amengad PS,2019,3,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Vehicle to Vehicle,Not Applicable,State Highway,Surfaced,Others,Others,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near Hospital,Not Applicable,Fatal,Not Applicable,Curve,State Highway,Surfaced,Dry,Others,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Curves,Rural Areas,Near or inside a village,No,Fatal,Skidding or Self accident,Curve,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Grievous Injury,Hit animal,Others,Others,Concrete,Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Curves,Rural Areas,Narrow bridge or culverts,No,Damage Only,Vehicle to Vehicle,Curve,State Highway,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near or inside a village,No,Fatal,Hit fixed object,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Cross roads,Rural Areas,Open area,Not Applicable,Fatal,Not Applicable,Others,Others,Kutcha,Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Not Applicable,Rural Areas,Near Petrol Pump,Not Applicable,Not Applicable,Not Applicable,Others,State Highway,Concrete,Not Applicable,Cloudy,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Head on,Curve and Incline,State Highway,Bitumen(Tar),Dry,Not Applicable,SingleLane,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Other,City/Town,Near or inside a village,No,Fatal,Run Off Road,Curve,Major District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,3,Road Accidents,Not Applicable,Rural Areas,Narrow bridge or culverts,No,Grievous Injury,Vehicle to Vehicle,Not Applicable,State Highway,Bitumen(Tar),Wet,Light Rain,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Not Applicable,Straight and flat,State Highway,Bitumen(Tar),Others,Very Cold,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near a religious place,No,Fatal,Hit puchcart,Curve,Minor District Road,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Culvert,City/Town,Narrow bridge or culverts,No,Damage Only,Hit fixed object,Not Applicable,State Highway,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Curves,Not Applicable,Narrow bridge or culverts,No,Grievous Injury,Overturning,Curve,State Highway,Bitumen(Tar),Not Applicable,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near Petrol Pump,No,Fatal,Skidding or Self accident,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Not Applicable,Rural Areas,Open area,No,Fatal,Vehicle to Vehicle,Curve,State Highway,Bitumen(Tar),Others,Others,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Cross roads,City/Town,In bazaar,Not Applicable,Grievous Injury,Vehicle to Vehicle,Others,Others,Surfaced,Others,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Curves,Rural Areas,Near Bus stop,Not Applicable,Fatal,Hit pedestrian,Curve,State Highway,Concrete,Others,Others,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Not Applicable,Rural Areas,Near or inside a village,No,Grievous Injury,Not Applicable,Not Applicable,State Highway,Bitumen(Tar),Ditch or Potholed,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Junction,Rural Areas,Affected by encroachments,No,Grievous Injury,Head on,Others,State Highway,Bitumen(Tar),Ditch or Potholed,Fine,NULL,NULL
Bagalkot,Amengad PS,2019,1,Road Accidents,Other,Rural Areas,Residential area,No,Fatal,Drowned,Not Applicable,Residential Street,Kutcha,Muddy,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Not Applicable,Rural Areas,Near or inside a village,No,Grievous Injury,Side impact or Right angle,Not Applicable,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
Bagalkot,Amengad PS,2019,2,Road Accidents,Road hump or Rumble strips,City/Town,Open area,Not Applicable,Fatal,Vehicle to Vehicle,Straight and flat,State Highway,Bitumen(Tar),Dry,Clear,NULL,NULL
